,H_datetime,H_Gameinfo,H_Teamnames,H_Goals,H_Ball Possession,H_Goal Attempts,H_Shots on Goal,H_Shots off Goal,H_Blocked Shots,H_Free Kicks,H_Corner Kicks,H_Offsides,H_Goalkeeper Saves,H_Fouls,H_Yellow Cards,H_Red Cards,H_Total Passes,H_Completed Passes,H_Tackles,H_Attacks,H_Dangerous Attacks,A_datetime,A_gameinfo,A_Teamnames,A_Goals,A_Ball Possession,A_Goal Attempts,A_Shots on Goal,A_Shots off Goal,A_Blocked Shots,A_Free Kicks,A_Corner Kicks,A_Offsides,A_Goalkeeper Saves,A_Fouls,A_Yellow Cards,A_Red Cards,A_Total Passes,A_Completed Passes,A_Tackles,A_Attacks,A_Dangerous Attacks,H_cat,gameurl
0,19.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 1",Frosinone,0,46,1,0,1,0,9,1,3,4,9,1,,221,197,,34,4,19.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 1",Napoli,1,54,11,5,3,3,12,3,1,0,8,0,,255,229,,53,20,cat0,https://www.flashscore.com/match/OCfhiAuc/#/match-summary/match-statistics/2
1,19.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 1",Frosinone,1,50,3,1,1,1,9,3,0,1,5,2,,217,187,,38,16,19.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 1",Napoli,2,50,8,3,1,4,5,3,2,0,9,3,,221,193,,42,13,cat1,https://www.flashscore.com/match/OCfhiAuc/#/match-summary/match-statistics/1
2,19.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 1",Empoli,0,44,4,2,1,1,9,2,0,1,11,2,,137,86,,44,12,19.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 1",Verona,1,56,7,2,4,1,12,2,2,2,8,1,,177,128,,58,15,cat2,https://www.flashscore.com/match/neB9SQ2d/#/match-summary/match-statistics/2
3,19.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 1",Empoli,0,50,6,2,4,0,10,0,2,2,6,0,,177,112,,41,18,19.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 1",Verona,0,50,3,2,1,0,11,2,1,2,10,1,,175,120,,53,17,cat3,https://www.flashscore.com/match/neB9SQ2d/#/match-summary/match-statistics/1
4,19.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 1",Inter,1,50,10,1,5,4,9,4,1,1,5,,,234,214,,50,38,19.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 1",Monza,0,50,5,1,3,1,5,1,1,0,9,,,235,206,,46,22,cat4,https://www.flashscore.com/match/dQh0klA9/#/match-summary/match-statistics/2
5,19.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 1",Inter,1,46,12,2,7,3,4,4,0,1,3,1,,239,212,,47,23,19.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 1",Monza,0,54,7,1,3,3,3,2,0,1,4,1,,290,267,,56,25,cat5,https://www.flashscore.com/match/dQh0klA9/#/match-summary/match-statistics/1
6,19.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 1",Genoa,1,32,4,2,2,0,4,2,0,0,9,1,,146,112,,41,22,19.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 1",Fiorentina,1,68,3,1,1,1,9,3,1,1,4,1,,327,295,,62,38,cat6,https://www.flashscore.com/match/23gdjUf3/#/match-summary/match-statistics/2
7,19.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 1",Genoa,0,32,0,0,0,0,10,1,2,1,5,1,,143,105,,44,10,19.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 1",Fiorentina,3,68,6,4,1,1,7,1,0,0,9,2,,329,281,,55,13,cat7,https://www.flashscore.com/match/23gdjUf3/#/match-summary/match-statistics/1
8,20.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 1",Sassuolo,0,46,7,1,4,2,9,2,0,0,2,,,220,185,,53,11,20.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 1",Atalanta,2,54,8,2,6,0,2,2,1,1,7,,,245,210,,55,37,cat8,https://www.flashscore.com/match/Sl9xWa9l/#/match-summary/match-statistics/2
9,20.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 1",Sassuolo,0,52,4,2,0,2,7,5,0,4,7,,,269,240,,38,17,20.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 1",Atalanta,0,48,8,4,2,2,7,5,1,2,6,,,238,205,,34,31,cat9,https://www.flashscore.com/match/Sl9xWa9l/#/match-summary/match-statistics/1
10,20.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 1",AS Roma,1,64,6,1,4,1,6,5,0,0,5,0,,242,198,,52,35,20.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 1",Salernitana,1,36,1,1,0,0,6,1,0,0,7,3,,138,90,,36,13,cat10,https://www.flashscore.com/match/lbAYWufr/#/match-summary/match-statistics/2
11,20.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 1",AS Roma,1,56,7,2,3,2,2,4,1,0,7,0,,233,191,,40,26,20.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 1",Salernitana,1,44,2,1,1,0,7,0,1,1,2,1,,190,150,,44,2,cat11,https://www.flashscore.com/match/lbAYWufr/#/match-summary/match-statistics/1
12,20.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 1",Udinese,0,51,9,4,3,2,5,6,2,0,8,0,,225,201,,64,33,20.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 1",Juventus,0,49,1,0,1,0,10,1,1,4,5,1,,219,179,,35,13,cat12,https://www.flashscore.com/match/zFCpUwv1/#/match-summary/match-statistics/2
13,20.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 1",Udinese,0,45,9,1,3,5,9,1,1,1,4,1,,205,178,,44,17,20.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 1",Juventus,3,55,8,4,2,2,5,2,3,1,5,2,,257,213,,49,18,cat13,https://www.flashscore.com/match/zFCpUwv1/#/match-summary/match-statistics/1
14,20.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 1",Lecce,2,55,18,6,5,7,11,1,2,2,6,3,,229,200,,54,43,20.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 1",Lazio,0,45,5,2,2,1,8,2,1,4,10,2,,176,137,,42,14,cat14,https://www.flashscore.com/match/80d4l8PF/#/match-summary/match-statistics/2
15,20.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 1",Lecce,0,41,5,1,3,1,6,4,0,1,6,,,227,189,,44,36,20.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 1",Lazio,1,59,5,2,1,2,6,0,0,1,6,,,338,302,,61,22,cat15,https://www.flashscore.com/match/80d4l8PF/#/match-summary/match-statistics/1
16,21.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 1",Torino,0,53,6,1,2,3,9,3,0,1,4,0,,214,163,,67,19,21.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 1",Cagliari,0,47,3,1,1,1,4,2,1,1,8,1,,187,134,,30,22,cat16,https://www.flashscore.com/match/dODtVJOf/#/match-summary/match-statistics/2
17,21.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 1",Torino,0,61,5,1,4,0,5,5,1,1,4,1,,234,191,,58,27,21.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 1",Cagliari,0,39,5,1,4,0,5,1,1,1,4,0,,151,109,,39,16,cat17,https://www.flashscore.com/match/dODtVJOf/#/match-summary/match-statistics/1
18,21.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 1",Bologna,0,51,8,4,2,2,4,2,2,3,4,1,,275,246,,63,22,21.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 1",AC Milan,0,49,3,3,0,0,6,3,1,4,3,2,,262,225,,55,18,cat18,https://www.flashscore.com/match/84C5T6mj/#/match-summary/match-statistics/2
19,21.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 1",Bologna,0,55,9,1,5,3,2,1,0,1,6,1,,270,234,,48,17,21.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 1",AC Milan,2,45,7,3,2,2,6,3,1,1,1,0,,218,183,,41,15,cat19,https://www.flashscore.com/match/84C5T6mj/#/match-summary/match-statistics/1
20,26.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 2",Monza,1,56,10,2,6,2,2,3,1,6,7,0,,241,205,,57,23,26.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 2",Empoli,0,44,14,6,5,3,7,3,0,1,0,1,,191,154,,37,26,cat20,https://www.flashscore.com/match/0Ie8qJwl/#/match-summary/match-statistics/2
21,26.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 2",Monza,1,52,10,3,3,4,7,3,1,0,7,1,,241,205,,64,35,26.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 2",Empoli,0,48,4,0,3,1,8,2,1,2,7,1,,226,189,,45,22,cat21,https://www.flashscore.com/match/0Ie8qJwl/#/match-summary/match-statistics/1
22,26.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 2",Frosinone,0,28,6,1,3,2,4,2,0,5,4,,,124,81,,32,9,26.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 2",Atalanta,1,72,13,6,5,2,4,7,0,1,4,,,333,291,,77,44,cat22,https://www.flashscore.com/match/ppfyi1oE/#/match-summary/match-statistics/2
23,26.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 2",Frosinone,2,46,7,4,1,2,7,1,1,0,6,1,,245,188,,61,22,26.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 2",Atalanta,0,54,5,0,3,2,6,0,1,2,6,2,,284,227,,60,26,cat23,https://www.flashscore.com/match/ppfyi1oE/#/match-summary/match-statistics/1
24,26.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 2",Verona,0,30,1,0,0,1,8,1,0,4,9,1,1,104,64,,52,13,26.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 2",AS Roma,1,70,12,5,5,2,10,6,1,0,7,2,0,231,194,,45,34,cat24,https://www.flashscore.com/match/zylLtHN6/#/match-summary/match-statistics/2
25,26.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 2",Verona,2,26,4,3,1,0,7,0,0,2,8,0,,100,69,,33,7,26.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 2",AS Roma,0,74,11,2,7,2,8,6,2,1,5,1,,269,241,,44,32,cat25,https://www.flashscore.com/match/zylLtHN6/#/match-summary/match-statistics/1
26,26.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 2",AC Milan,1,58,6,3,2,1,8,1,0,0,7,1,,252,221,,47,7,26.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 2",Torino,0,42,3,0,3,0,8,1,2,2,7,2,,172,147,,47,26,cat26,https://www.flashscore.com/match/6ed4paOs/#/match-summary/match-statistics/2
27,26.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 2",AC Milan,3,60,11,4,6,1,8,1,1,0,6,1,,243,207,,45,25,26.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 2",Torino,1,40,5,1,3,1,8,0,0,1,9,1,,164,125,,35,10,cat27,https://www.flashscore.com/match/6ed4paOs/#/match-summary/match-statistics/1
28,27.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 2",Juventus,1,58,10,2,6,2,8,5,1,2,9,1,,202,172,,59,43,27.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 2",Bologna,0,42,2,2,0,0,10,1,0,1,8,0,,162,126,,41,14,cat28,https://www.flashscore.com/match/OzgujL0K/#/match-summary/match-statistics/2
29,27.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 2",Juventus,0,60,4,1,1,2,5,1,3,1,5,1,,295,255,,60,30,27.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 2",Bologna,1,40,7,2,4,1,7,1,0,1,5,1,,194,162,,36,15,cat29,https://www.flashscore.com/match/OzgujL0K/#/match-summary/match-statistics/1
30,27.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 2",Fiorentina,0,59,5,1,2,2,8,1,0,0,8,1,,142,137,,48,34,27.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 2",Lecce,2,41,4,2,1,1,8,1,0,1,5,2,,108,87,,38,19,cat30,https://www.flashscore.com/match/Wt6gSH8D/#/match-summary/match-statistics/2
31,27.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 2",Fiorentina,2,57,4,3,1,0,8,2,1,0,5,0,,215,159,,68,20,27.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 2",Lecce,0,43,2,0,0,2,8,2,1,1,7,1,,154,112,,44,18,cat31,https://www.flashscore.com/match/Wt6gSH8D/#/match-summary/match-statistics/1
32,27.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 2",Napoli,1,74,18,4,8,6,4,6,3,0,3,,0,351,327,,67,50,27.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 2",Sassuolo,0,26,3,0,1,2,4,1,0,3,6,,1,123,96,,30,8,cat32,https://www.flashscore.com/match/ELaCrwgf/#/match-summary/match-statistics/2
33,27.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 2",Napoli,1,60,7,1,4,2,3,6,1,1,6,0,,301,266,,50,32,27.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 2",Sassuolo,0,40,3,1,2,0,5,3,0,0,4,1,,205,173,,41,23,cat33,https://www.flashscore.com/match/ELaCrwgf/#/match-summary/match-statistics/1
34,27.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 2",Lazio,0,71,13,2,9,2,10,8,0,0,5,3,,317,265,,95,59,27.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 2",Genoa,0,29,1,0,1,0,5,0,0,2,10,1,,128,83,,33,13,cat34,https://www.flashscore.com/match/4nAxkuGQ/#/match-summary/match-statistics/2
35,27.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 2",Lazio,0,69,3,0,1,2,6,7,0,2,4,1,,405,363,,98,42,27.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 2",Genoa,1,31,4,3,0,1,3,1,0,0,6,1,,184,148,,30,6,cat35,https://www.flashscore.com/match/4nAxkuGQ/#/match-summary/match-statistics/1
36,28.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 2",Salernitana,1,57,6,4,2,0,12,6,0,2,9,4,,224,186,,42,20,28.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 2",Udinese,1,43,4,3,1,0,10,1,0,3,12,4,,170,138,,36,12,cat36,https://www.flashscore.com/match/dpkHsc80/#/match-summary/match-statistics/2
37,28.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 2",Salernitana,0,55,3,0,2,1,8,1,1,3,3,,,204,152,,43,16,28.08.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 2",Udinese,0,45,10,3,3,4,4,4,1,0,7,,,164,116,,57,27,cat37,https://www.flashscore.com/match/dpkHsc80/#/match-summary/match-statistics/1
38,28.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 2",Cagliari,0,35,6,1,1,4,7,2,1,0,6,1,,188,151,,55,30,28.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 2",Inter,0,65,5,0,3,2,7,0,2,1,5,1,,359,327,,68,22,cat38,https://www.flashscore.com/match/Iw2kTcg7/#/match-summary/match-statistics/2
39,28.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 2",Cagliari,0,31,6,1,3,2,5,2,0,1,3,,,143,106,,44,15,28.08.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 2",Inter,2,69,12,3,6,3,3,7,0,1,5,,,314,267,,65,28,cat39,https://www.flashscore.com/match/Iw2kTcg7/#/match-summary/match-statistics/1
40,01.09.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 3",Sassuolo,2,42,6,4,2,0,4,5,1,2,5,0,,185,140,,46,20,01.09.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 3",Verona,1,58,5,3,2,0,5,0,0,2,5,1,,269,225,,53,15,cat40,https://www.flashscore.com/match/zkTgeGx0/#/match-summary/match-statistics/2
41,01.09.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 3",Sassuolo,1,52,10,3,2,5,12,5,0,0,3,1,,190,141,,42,25,01.09.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 3",Verona,0,48,6,0,6,0,3,1,4,2,8,2,,177,132,,43,12,cat41,https://www.flashscore.com/match/zkTgeGx0/#/match-summary/match-statistics/1
42,01.09.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 3",AS Roma,1,54,10,2,4,4,5,3,1,1,9,2,0,242,213,,68,25,01.09.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 3",AC Milan,1,46,3,2,0,1,11,1,0,1,8,2,1,218,185,,34,12,cat42,https://www.flashscore.com/match/dbUkddNg/#/match-summary/match-statistics/2
43,01.09.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 3",AS Roma,0,32,3,0,3,0,8,0,0,1,5,0,,157,123,,47,3,01.09.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 3",AC Milan,1,68,6,2,1,3,4,4,1,0,7,2,,326,293,,53,16,cat43,https://www.flashscore.com/match/dbUkddNg/#/match-summary/match-statistics/1
44,02.09.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 3",Udinese,0,43,7,3,3,1,6,2,0,2,9,2,,132,98,,42,23,02.09.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 3",Frosinone,0,57,8,2,2,4,9,2,1,3,4,1,,190,150,,53,28,cat44,https://www.flashscore.com/match/rFW1gf7C/#/match-summary/match-statistics/2
45,02.09.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 3",Udinese,0,51,5,3,1,1,6,1,0,0,5,0,,215,166,,61,30,02.09.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 3",Frosinone,0,49,4,0,4,0,5,3,1,3,5,1,,205,162,,47,29,cat45,https://www.flashscore.com/match/rFW1gf7C/#/match-summary/match-statistics/1
46,02.09.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 3",Bologna,2,73,10,5,4,1,5,2,1,0,3,0,,372,332,,81,33,02.09.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 3",Cagliari,0,27,6,0,5,1,4,1,0,3,6,2,,136,101,,26,19,cat46,https://www.flashscore.com/match/r1iTvehJ/#/match-summary/match-statistics/2
47,02.09.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 3",Bologna,0,71,6,2,2,2,8,3,0,0,6,1,,353,313,,76,32,02.09.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 3",Cagliari,1,29,1,1,0,0,6,1,1,2,7,0,,135,110,,32,18,cat47,https://www.flashscore.com/match/r1iTvehJ/#/match-summary/match-statistics/1
48,02.09.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 3",Napoli,0,64,9,0,4,5,5,3,2,0,5,0,,313,271,,69,41,02.09.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 3",Lazio,1,36,4,1,3,0,6,0,3,0,3,1,,175,134,,29,14,cat48,https://www.flashscore.com/match/vNZpcx8m/#/match-summary/match-statistics/2
49,02.09.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 3",Napoli,1,58,13,4,4,5,6,4,2,0,3,0,,285,249,,67,29,02.09.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 3",Lazio,1,42,2,1,0,1,5,2,0,3,6,1,,212,183,,28,13,cat49,https://www.flashscore.com/match/vNZpcx8m/#/match-summary/match-statistics/1
50,02.09.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 3",Atalanta,1,37,9,5,2,2,3,2,2,0,8,0,,208,178,,45,36,02.09.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 3",Monza,0,63,2,0,2,0,10,1,0,4,3,2,,353,311,,56,17,cat50,https://www.flashscore.com/match/4AhPuywD/#/match-summary/match-statistics/2
51,02.09.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 3",Atalanta,2,45,9,3,3,3,7,5,2,2,3,0,,220,186,,53,33,02.09.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 3",Monza,0,55,6,2,3,1,5,2,1,1,6,1,,273,227,,40,14,cat51,https://www.flashscore.com/match/4AhPuywD/#/match-summary/match-statistics/1
52,03.09.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 3",Torino,1,60,6,1,4,1,5,2,3,1,6,2,,215,177,,56,25,03.09.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 3",Genoa,0,40,5,1,3,1,9,0,0,0,4,2,,167,113,,49,16,cat52,https://www.flashscore.com/match/UBScfzh6/#/match-summary/match-statistics/2
53,03.09.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 3",Torino,0,66,4,2,1,1,5,2,2,1,7,0,,278,248,,67,33,03.09.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 3",Genoa,0,34,2,1,0,1,9,0,2,2,3,3,,137,99,,33,5,cat53,https://www.flashscore.com/match/UBScfzh6/#/match-summary/match-statistics/1
54,03.09.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 3",Inter,3,36,11,6,3,2,6,0,0,2,8,,,147,117,,32,10,03.09.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 3",Fiorentina,0,64,4,2,0,2,8,1,1,3,7,,,268,234,,50,30,cat54,https://www.flashscore.com/match/rilF2bpQ/#/match-summary/match-statistics/2
55,03.09.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 3",Inter,1,44,10,5,5,0,5,1,0,0,5,1,,202,168,,49,19,03.09.2023 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 3",Fiorentina,0,56,2,0,1,1,5,0,0,4,5,1,,259,221,,54,12,cat55,https://www.flashscore.com/match/rilF2bpQ/#/match-summary/match-statistics/1
56,03.09.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 3",Lecce,1,42,12,4,2,6,5,6,0,2,5,1,,162,118,,62,30,03.09.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 3",Salernitana,0,58,6,2,4,0,4,3,1,3,5,2,,224,174,,57,18,cat56,https://www.flashscore.com/match/0WzsbIhs/#/match-summary/match-statistics/2
57,03.09.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 3",Lecce,1,49,8,2,2,4,5,0,0,2,12,2,,166,131,,45,20,03.09.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 3",Salernitana,0,51,5,2,2,1,12,2,0,1,10,1,,172,143,,50,22,cat57,https://www.flashscore.com/match/0WzsbIhs/#/match-summary/match-statistics/1
58,03.09.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 3",Empoli,0,53,3,0,3,0,7,1,1,0,6,2,,246,219,,58,19,03.09.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 3",Juventus,1,47,8,1,4,3,7,3,1,0,6,2,,234,201,,45,41,cat58,https://www.flashscore.com/match/p6VB3vVJ/#/match-summary/match-statistics/2
59,03.09.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 3",Empoli,0,47,4,0,2,2,7,2,1,3,8,1,,201,170,,41,30,03.09.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 3",Juventus,1,53,10,4,2,4,8,4,0,0,7,1,,234,197,,47,26,cat59,https://www.flashscore.com/match/p6VB3vVJ/#/match-summary/match-statistics/1
60,16.09.2023 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 4",Juventus,1,38,9,3,6,0,6,4,0,0,7,3,,178,147,,33,19,16.09.2023 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 4",Lazio,1,62,9,1,4,4,7,2,0,2,6,1,,287,259,,57,30,cat60,https://www.flashscore.com/match/4UKAiYyP/#/match-summary/match-statistics/2
61,16.09.2023 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 4",Juventus,2,34,8,4,3,1,6,3,1,4,6,2,,170,138,,31,14,16.09.2023 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 4",Lazio,0,66,7,4,1,2,7,7,0,2,7,0,,332,304,,65,30,cat61,https://www.flashscore.com/match/4UKAiYyP/#/match-summary/match-statistics/1
62,16.09.2023 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 4",Inter,3,52,8,6,1,1,8,1,1,0,10,2,,,282,,37,21,16.09.2023 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 4",AC Milan,1,48,6,1,4,1,9,0,0,3,9,1,,,473,,44,9,cat62,https://www.flashscore.com/match/QwM6hEMI/#/match-summary/match-statistics/2
63,16.09.2023 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 4",Inter,2,28,6,1,2,3,7,4,1,1,6,0,,,,,21,13,16.09.2023 18:00,"FOOTBALL
ITALY: SERIE A - ROUND 4",AC Milan,0,72,3,1,0,2,9,0,2,0,4,1,,,,,61,29,cat63,https://www.flashscore.com/match/QwM6hEMI/#/match-summary/match-statistics/1
64,16.09.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 4",Genoa,1,31,4,1,2,1,6,2,0,2,7,1,,143,96,,46,11,16.09.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 4",Napoli,2,69,7,4,1,2,7,1,2,0,4,1,,316,266,,70,42,cat64,https://www.flashscore.com/match/bitp6XjI/#/match-summary/match-statistics/2
65,16.09.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 4",Genoa,1,37,4,2,2,0,5,1,1,0,7,2,,160,130,,35,23,16.09.2023 20:45,"FOOTBALL
ITALY: SERIE A - ROUND 4",Napoli,0,63,5,0,2,3,8,0,1,1,4,1,,294,258,,69,23,cat65,https://www.flashscore.com/match/bitp6XjI/#/match-summary/match-statistics/1
66,17.09.2023 12:30,"FOOTBALL
ITALY: SERIE A - ROUND 4",Cagliari,0,44,5,1,3,1,5,2,1,1,8,2,1,188,148,,44,25,17.09.2023 12:30,"FOOTBALL
ITALY: SERIE A - ROUND 4",Udinese,0,56,5,1,4,0,9,4,0,1,5,1,0,230,201,,52,26,cat66,https://www.flashscore.com/match/OYmX8Z6a/#/match-summary/match-statistics/2
67,17.09.2023 12:30,"FOOTBALL
ITALY: SERIE A - ROUND 4",Cagliari,0,44,5,0,4,1,7,2,2,0,4,,,169,128,,51,15,17.09.2023 12:30,"FOOTBALL
ITALY: SERIE A - ROUND 4",Udinese,0,56,6,0,5,1,6,2,1,0,6,,,224,179,,44,18,cat67,https://www.flashscore.com/match/OYmX8Z6a/#/match-summary/match-statistics/1
68,17.09.2023 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 4",Monza,0,77,14,4,8,2,5,6,1,0,10,4,1,316,283,,88,69,17.09.2023 15:00,"FOOTBALL
ITALY: SERIE A - ROUND 4",Lecce,0,23,1,0,1,0,13,0,0,4,6,0,1,99,71,,31,8,cat68,https://www.flashscore.com/match/Wz9hGHEP/#/match-summary/match-statistics/2
